1490,FOLSOM GATOROBYTES,"California, USA",,,,,,,,,,,,,,,
8045,TSM Roboteam UK,United Kingdom,,,,,,,,,,,,,,,
2744,The Oddly Charged Par,"Missouri, USA",,,,,,,,,,,,,,,
8065,EAST ASIAN STAR ,China,,,,,,,,,,,,,,,
8040,Terakki,Turkey,,,,,,,,,,,,,,,
8050,SAP NXTreme,South Africa,,,,,,,,,,,,,,,
426,Gothic Lawn Gnomes,"Washington, USA",,,,,,,,,,,,,,,
8090,Sizars,Republic of Korea (South Korea),,,,,,,,,,,,,,,
5321,Lights Out,"Nevada, USA",,,,,,,,,,,,,,,
1409,St. Clare's School,"New York, USA",,,,,,,,,,,,,,,
2430,The Blue Dragons,"Virginia, USA",,,,,,,,,,,,,,,
1523,Mindstorm Maniacs,"Minnesota, USA",,,,,,,,,,,,,,,
3456,Lightning Rod,"California, USA",,,,,,,,,,,,,,,
1413,Terramatix,"North Carolina, USA",,,,,,,,,,,,,,,
1133,Power Pirates,"Iowa, USA",,,,,,,,,,,,,,,
2721,Nuclear Knights,"Arizona, USA",,,,,,,,,,,,,,,
8125,POWERGENESIS,Peru,,,,,,,,,,,,,,,
2765,NeXT GEN,"Maryland, USA",,,,,,,,,,,,,,,
23,ROBOWhizards,"Pennsylvania, USA",,,,,,,,,,,,,,,
8130,MDLB108,Chile,,,,,,,,,,,,,,,
8095,External Fusion,Singapore,,,,,,,,,,,,,,,
15,EOT (prounced E-OH-TE),"Rhohe Island, USA",,,,,,,,,,,,,,,
2560,Pixelation,"Minnesota, USA",,,,,,,,,,,,,,,
58,Gear Geeks,"Georgia, USA",,,,,,,,,,,,,,,
1,Green Man Group,"New Hampshire, USA",,,,,,,,,,,,,,,
995,Roboteers,"West Virginia, USA",,,,,,,,,,,,,,,
8015,Montfort-Robot,France,,,,,,,,,,,,,,,
8070,SAP SpIDERs,India,,,,,,,,,,,,,,,
223,FellowshipOfTheBricks,"Tennessee, USA",,,,,,,,,,,,,,,
8060,The Legoroos,Australia,,,,,,,,,,,,,,,
165,RoboRaiders,"Hawaii, USA",,,,,,,,,,,,,,,
127,Whitney Killer Watts,"California, USA",,,,,,,,,,,,,,,
2927,Storm Cats,"Florida, USA",,,,,,,,,,,,,,,
8010,Herta-Mechanics,Germany,,,,,,,,,,,,,,,
4049,Solar Dragons,"Oregon, USA",,,,,,,,,,,,,,,
3457,Rainstorm Robotics,"Oklahoma, USA",,,,,,,,,,,,,,,
8120,Nucleólicos,Mexico,,,,,,,,,,,,,,,
3430,Robo - Monkey - Kilts,"Maine, USA",,,,,,,,,,,,,,,
8085,CREATIVE ENGINEERS,Jordan,,,,,,,,,,,,,,,
8000,Junior Kids,Faroe Islands,,,,,,,,,,,,,,,
8035,COMPLUBOT,Spain,,,,,,,,,,,,,,,
2866,Cobalt Blue,"Illinois, USA",,,,,,,,,,,,,,,
654,Central SpaceLab ONE,"Indiana, USA",,,,,,,,,,,,,,,
8131,Campeones FNH,Chile,,,,,,,,,,,,,,,
8110,BLACK OCEAN CURRENT,Taiwan,,,,,,,,,,,,,,,
299,Bearbotics,"Texas, USA",,,,,,,,,,,,,,,
2922,Alternative Robotics Team,"New York, USA",,,,,,,,,,,,,,,
8005,Alleskönner?!,Germany,,,,,,,,,,,,,,,
Block Format,2,,,,,,,,,,,,,,,,
Number of Ranking Matches,42,,,,,,,,,,,,,,,,
Number of Tables,6,,,,,,,,,,,,,,,,
Number of Teams Per Table,2,,,,,,,,,,,,,,,,
Number of Simultaneous Tables,3,,,,,,,,,,,,,,,,
Table Names,Table 1A,Table 1B,Table 2A,Table 2B,Table 3A,Table 3B,Table 4A,Table 4B,Table 5A,Table 5B,Table 6A,Table 6B,,,,,
1,10:15 AM,10:20 AM,2822,87,1582,8140,2093,9000,,,,,,,,,
2,10:20 AM,10:25 AM,,,,,,,2254,1832,1579,8080,7105,3267,,,
3,10:25 AM,10:30 AM,8135,8100,482,8075,334,4198,,,,,,,,,
4,10:30 AM,10:35 AM,,,,,,,606,3492,32,5746,543,8055,,,
5,10:35 AM,10:40 AM,548,171,1976,105,3753,131,,,,,,,,,
6,10:40 AM,10:45 AM,,,,,,,3162,5947,1592,857,1490,8045,,,
7,10:45 AM,10:50 AM,2744,8065,8040,8050,426,8090,,,,,,,,,
8,10:50 AM,10:55 AM,,,,,,,5321,1409,2430,1523,3456,1413,,,
9,10:55 AM,11:00 AM,1133,2721,8125,2765,23,8130,,,,,,,,,
10,11:00 AM,11:05 AM,,,,,,,8095,15,2560,58,1,995,,,
11,11:05 AM,11:10 AM,8015,8070,223,8060,165,127,,,,,,,,,
12,11:10 AM,11:15 AM,,,,,,,2927,8010,4049,3457,8120,3430,,,
13,11:15 AM,11:20 AM,8085,8000,8035,2866,654,8131,,,,,,,,,
14,11:20 AM,11:25 AM,,,,,,,8110,299,2922,8005,0,0,,,
15,11:40 AM,11:45 AM,2254,87,8080,1832,1579,8140,,,,,,,,,
16,11:45 AM,11:50 AM,,,,,,,1582,2093,2822,3267,9000,7105,,,
17,11:50 AM,11:55 AM,606,8100,5746,3492,32,8075,,,,,,,,,
18,11:55 AM,12:00 PM,,,,,,,482,334,8135,8055,4198,543,,,
19,12:00 PM,12:05 PM,3162,171,857,5947,1592,105,,,,,,,,,
20,12:05 PM,12:10 PM,,,,,,,1976,3753,548,8045,131,1490,,,
21,12:10 PM,12:15 PM,5321,8065,1523,1409,2430,8050,,,,,,,,,
22,12:15 PM,12:20 PM,,,,,,,8040,426,2744,1413,8090,3456,,,
23,12:20 PM,12:25 PM,8095,2721,58,15,2560,2765,,,,,,,,,
24,12:25 PM,12:30 PM,,,,,,,8125,23,1133,995,8130,1,,,
25,12:30 PM,12:35 PM,2927,8070,3457,8010,4049,8060,,,,,,,,,
26,12:35 PM,12:40 PM,,,,,,,223,165,8015,3430,127,8120,,,
27,12:40 PM,12:45 PM,8110,8000,8005,299,2922,2866,,,,,,,,,
28,12:45 PM,12:50 PM,,,,,,,8035,654,8085,8131,0,0,,,
29,1:35 PM,1:40 PM,1582,1579,9000,3267,2822,2254,,,,,,,,,
30,1:40 PM,1:45 PM,,,,,,,2093,7105,87,1832,8140,8080,,,
31,1:45 PM,1:50 PM,482,32,4198,8055,8135,606,,,,,,,,,
32,1:50 PM,1:55 PM,,,,,,,334,543,8100,3492,8075,5746,,,
33,1:55 PM,2:00 PM,1976,1592,131,8045,548,3162,,,,,,,,,
34,2:00 PM,2:05 PM,,,,,,,3753,1490,171,5947,105,857,,,
35,2:05 PM,2:10 PM,8040,2430,8090,1413,2744,5321,,,,,,,,,
36,2:10 PM,2:15 PM,,,,,,,426,3456,8065,1409,8050,1523,,,
37,2:15 PM,2:20 PM,8125,2560,8130,995,1133,8095,,,,,,,,,
38,2:20 PM,2:25 PM,,,,,,,23,1,2721,15,2765,58,,,
39,2:25 PM,2:30 PM,223,4049,127,3430,8015,2927,,,,,,,,,
40,2:30 PM,2:35 PM,,,,,,,165,8120,8070,8010,8060,3457,,,
41,2:35 PM,2:40 PM,8035,299,8131,8005,8085,654,,,,,,,,,
42,2:40 PM,2:45 PM,,,,,,,2866,8110,8000,2922,0,0,,,
Block Format,4,,,,,,,,,,,,,,,,
Number of Practice Matches,28,,,,,,,,,,,,,,,,
Number of Tables,6,,,,,,,,,,,,,,,,
Number of Teams Per Table,2,,,,,,,,,,,,,,,,
Number of Simultaneous Tables,3,,,,,,,,,,,,,,,,
Table Names,Table 1A,Table 1B,Table 2A,Table 2B,Table 3A,Table 3B,Table 4A,Table 4B,Table 5A,Table 5B,Table 6A,Table 6B,,,,,
1,10:20 AM,10:25 AM,8065,8050,2744,8040,8090,1409,,,,,,,,,
2,10:25 AM,10:30 AM,,,,,,,426,5321,1523,1413,2430,3456,,,
3,10:30 AM,10:35 AM,2721,2765,1133,8125,8130,15,,,,,,,,,
4,10:35 AM,10:40 AM,,,,,,,23,8095,58,995,2560,1,,,
5,10:40 AM,10:45 AM,8070,8060,8015,223,127,8010,,,,,,,,,
6,10:45 AM,10:50 AM,,,,,,,165,2927,3457,3430,4049,8120,,,
7,10:50 AM,10:55 AM,8000,2866,8085,8035,8131,2922,,,,,,,,,
8,10:55 AM,11:00 AM,,,,,,,654,299,8005,8110,0,0,,,
9,11:30 AM,11:35 AM,8050,2744,8040,8065,5321,8090,,,,,,,,,
10,11:35 AM,11:40 AM,,,,,,,1409,426,1413,2430,3456,1523,,,
11,11:40 AM,11:45 AM,2765,1133,8125,2721,8095,8130,,,,,,,,,
12,11:45 AM,11:50 AM,,,,,,,15,23,995,2560,1,58,,,
13,11:50 AM,11:55 AM,8060,8015,223,8070,2927,127,,,,,,,,,
14,11:55 AM,12:00 PM,,,,,,,8010,165,3430,4049,8120,3457,,,
15,12:00 PM,12:05 PM,2866,8085,8005,8000,299,8131,,,,,,,,,
16,12:05 PM,12:10 PM,,,,,,,8110,654,8035,2922,0,0,,,
17,1:40 PM,1:45 PM,87,8140,2822,1582,9000,1832,,,,,,,,,
18,1:45 PM,1:50 PM,,,,,,,2093,2254,8080,3267,1579,7105,,,
19,1:50 PM,1:55 PM,8100,8075,8135,482,4198,3492,,,,,,,,,
20,1:55 PM,2:00 PM,,,,,,,334,606,5746,8055,32,543,,,
21,2:00 PM,2:05 PM,171,105,548,1976,131,5947,,,,,,,,,
22,2:05 PM,2:10 PM,,,,,,,3753,3162,857,8045,1592,1490,,,
23,2:40 PM,2:45 PM,8140,2822,1582,87,2254,9000,,,,,,,,,
24,2:45 PM,2:50 PM,,,,,,,1832,2093,3267,1579,7105,8080,,,
25,2:50 PM,2:55 PM,8075,8135,482,8100,606,4198,,,,,,,,,
26,2:55 PM,3:00 PM,,,,,,,3492,334,8055,32,543,5746,,,
27,3:00 PM,3:05 PM,105,548,1976,171,3162,131,,,,,,,,,
28,3:05 PM,3:10 PM,,,,,,,5947,3753,8045,1592,1490,857,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
